,Week,Revenue A,Revenue B,Revenue C,Payroll,Payroll Taxes,Pension Contribution,Benefits Contribution,EHT,Fixed OpEx,Variable OpEx,CapEx,Ending Balance
0,2024-04-05,173290.55,0.0,132894.12,-0.0,-0.0,-0.0,-0.0,-0.0,-155376.24,-25768.82,-0.0,1125039.6099999999
1,2024-04-12,221771.09,0.0,194975.96,-149025.27,-64115.36,-21489.18,-0.0,-0.0,-156593.95,-106557.82,-0.0,1044005.08
2,2024-04-19,150000.0,208024.44,46593.06,-0.0,-0.0,-0.0,-0.0,-0.0,-139599.56,-66163.18,-0.0,1242859.8399999999
3,2024-04-26,196531.13,0.0,35006.03,-146899.83,-68097.68,-21462.86,-0.0,-0.0,-149727.1,-39412.33,-0.0,1048797.1999999997
4,2024-05-03,213109.57,235988.6,50918.8,-0.0,-0.0,-0.0,-23274.71,-6184.29,-148767.59,-40153.69,-0.0,1330433.89
5,2024-05-10,199854.77,0.0,20766.96,-168888.9,-68647.79,-23767.85,-0.0,-0.0,-157412.52,-78380.63,-0.0,1053957.9300000002
6,2024-05-17,197265.99,210388.09,88232.03,-0.0,-0.0,-0.0,-0.0,-0.0,-159970.77,-79103.09,-0.0,1310770.18
7,2024-05-24,179192.47,0.0,136967.28,-164712.73,-65818.78,-23367.75,-0.0,-0.0,-137778.88,-36761.73,-0.0,1198490.0600000008
8,2024-05-31,201084.52,0.0,27964.39,-0.0,-0.0,-0.0,-0.0,-0.0,-140151.98,-66908.72,-0.0,1220478.2700000003
9,2024-06-07,163349.47,223537.59,104103.78,-150146.82,-68713.05,-20987.45,-39873.33,-9272.11,-142745.4,-107655.64,-0.0,1172075.310000001
10,2024-06-14,179123.03,0.0,20419.3,-0.0,-0.0,-0.0,-0.0,-0.0,-139208.04,-34203.54,-0.0,1198206.06
11,2024-06-21,199262.51,180129.34,67628.55,-178459.15,-78162.37,-24321.33,-0.0,-0.0,-136705.7,-27356.63,-0.0,1200221.2800000003
12,2024-06-28,172062.35,0.0,87432.11,-0.0,-0.0,-0.0,-0.0,-0.0,-160129.0,-53169.11,-0.0,1246417.6300000013
13,2024-07-05,216465.26,198351.52,22756.29,-149271.45,-60022.82,-21507.66,-27193.51,-6771.4,-167578.99,-41039.5,-0.0,1210605.37
14,2024-07-12,213109.25,0.0,25998.57,-0.0,-0.0,-0.0,-0.0,-0.0,-148793.45,-103957.42,-0.0,1196962.3200000003
15,2024-07-19,160310.22,216005.92,100730.21,-168462.53,-71284.11,-21997.37,-0.0,-0.0,-159461.99,-101232.62,-0.0,1151570.0499999993
16,2024-07-26,216489.11,0.0,64355.3,-0.0,-0.0,-0.0,-0.0,-0.0,-144053.81,-201971.83,-0.0,1086388.8199999996
17,2024-08-02,243595.23,217945.97,48098.96,-152058.15,-63204.53,-21021.22,-25869.31,-6597.16,-155559.22,-98544.63,-0.0,1073174.7599999998
18,2024-08-09,187706.53,0.0,247139.4,-0.0,-0.0,-0.0,-0.0,-0.0,-135964.58,-265321.61,-0.0,1106734.4999999981
19,2024-08-16,186559.94,218001.64,278243.13,-164281.66,-73427.29,-23940.51,-0.0,-0.0,-158333.58,-87524.64,-0.0,1282031.529999999
20,2024-08-23,198848.73,0.0,72750.34,-0.0,-0.0,-0.0,-0.0,-0.0,-155282.53,-66920.64,-0.0,1331427.4299999997
21,2024-08-30,177398.77,0.0,17264.57,-154885.57,-65948.87,-22949.61,-0.0,-0.0,-153111.32,-102976.97,-0.0,1026218.429999999
22,2024-09-06,173690.98,215643.71,52904.54,-0.0,-0.0,-0.0,-24268.23,-6578.36,-157801.91,-42620.35,-0.0,1237188.8099999975
23,2024-09-13,256234.72,0.0,49205.78,-159892.47,-66192.76,-21222.02,-0.0,-0.0,-136749.29,-271981.58,-0.0,886591.1900000004
24,2024-09-20,195807.31,188418.75,65833.99,-0.0,-0.0,-0.0,-0.0,-0.0,-145930.33,-53839.63,-0.0,1136881.2799999993
25,2024-09-27,181708.27,0.0,128628.79,-164709.59,-66398.59,-22695.23,-0.0,-0.0,-159317.43,-50413.02,-0.0,983684.4799999977
26,2024-10-04,245932.79,185786.99,124090.99,-0.0,-0.0,-0.0,-25502.43,-6541.68,-142085.84,-31383.99,-0.0,1333981.3099999977
27,2024-10-11,212869.9,0.0,32300.98,-151090.81,-62998.72,-21879.53,-0.0,-0.0,-151195.07,-86297.27,-0.0,1105690.789999999
28,2024-10-18,251937.69,186728.83,32135.22,-0.0,-0.0,-0.0,-0.0,-0.0,-155885.25,-49452.23,-0.0,1371155.0499999993
29,2024-10-25,177931.4,0.0,70715.09,-158367.57,-67296.38,-20979.16,-0.0,-0.0,-141316.53,-37449.19,-0.0,1194392.7100000018
30,2024-11-01,216653.69,201238.87,51646.97,-0.0,-0.0,-0.0,-25025.47,-6422.93,-149070.3,-39904.74,-0.0,1443508.8000000007
31,2024-11-08,221644.99,0.0,41670.45,-154037.82,-63899.63,-21024.74,-0.0,-0.0,-157708.88,-230605.21,-0.0,1079547.960000001
32,2024-11-15,217499.78,221609.9,33524.32,-0.0,-0.0,-0.0,-0.0,-0.0,-140745.36,-370421.57,-0.0,1041015.0299999989
33,2024-11-22,181052.73,0.0,58261.63,-147081.1,-66295.37,-20894.98,-0.0,-0.0,-173878.03,-88303.24,-0.0,783876.6700000004
34,2024-11-29,222083.8,0.0,65786.69,-0.0,-0.0,-0.0,-0.0,-0.0,-141584.29,-103714.34,-0.0,826448.5300000017
35,2024-12-06,209437.49,186803.3,50342.67,-150930.27,-64896.04,-21915.44,-34393.51,-8723.33,-165368.11,-21755.23,-0.0,805050.0599999987
36,2024-12-13,213032.53,0.0,13880.94,-0.0,-0.0,-0.0,-0.0,-0.0,-139683.68,-22003.99,-0.0,870275.8599999994
37,2024-12-20,207407.09,190926.14,27443.77,-151563.82,-63488.72,-22490.21,-0.0,-0.0,-159868.38,-19282.24,-0.0,879359.4900000012
38,2024-12-27,241263.19,0.0,251777.85,-0.0,-0.0,-0.0,-0.0,-0.0,-131902.9,-208384.59,-0.0,1032113.0400000019
39,2025-01-03,225811.92,178105.37,30536.05,-153154.92,-67478.96,-21662.63,-23954.54,-6389.87,-145501.55,-128524.41,-0.0,919899.4999999981
40,2025-01-10,190709.9,0.0,25182.51,-0.0,-0.0,-0.0,-0.0,-0.0,-155020.55,-117933.63,-0.0,862837.7300000023
41,2025-01-17,172580.41,205841.47,247903.2,-160783.44,-65771.08,-21078.61,-0.0,-0.0,-152257.53,-17823.65,-0.0,1071448.5000000014
42,2025-01-24,165193.88,0.0,67542.24,-0.0,-0.0,-0.0,-0.0,-0.0,-144884.25,-166083.99,-0.0,993216.3800000027
43,2025-01-31,183375.46,0.0,44744.01,-137191.35,-58968.54,-20655.54,-0.0,-0.0,-125860.32,-12838.93,-0.0,865821.1700000013
44,2025-02-07,186377.81,213083.9,18880.02,-0.0,-0.0,-0.0,-25020.87,-5773.26,-149397.19,-253621.19,-0.0,850350.3900000006
45,2025-02-14,220143.69,0.0,11910.54,-187808.7,-82534.84,-27385.36,-0.0,-0.0,-141248.4,-20161.73,-0.0,623265.5899999999
46,2025-02-21,186544.75,242818.31,59068.15,-0.0,-0.0,-0.0,-0.0,-0.0,-176115.49,-164666.51,-0.0,770914.8000000007
47,2025-02-28,232720.83,0.0,95741.86,-169410.34,-72123.21,-23318.23,-0.0,-0.0,-157966.61,-46743.61,-0.0,629815.4900000002
48,2025-03-07,185099.16,193093.36,58994.81,-0.0,-0.0,-0.0,-27219.99,-7112.94,-150074.42,-94457.27,-0.0,788138.1999999993
49,2025-03-14,164861.4,0.0,83034.8,-146537.16,-58475.27,-20152.87,-0.0,-0.0,-135995.79,-136629.84,-0.0,538243.4699999997
50,2025-03-21,202252.83,205369.06,18259.93,-0.0,-0.0,-0.0,-0.0,-0.0,-158444.95,-95042.04,-0.0,710638.2999999998
51,2025-03-28,222844.76,0.0,63048.08,-150570.51,-63496.25,-20585.76,-0.0,-0.0,-150046.86,-257518.22,-0.0,354313.54000000376
52,2025-04-04,186634.79,186059.63,29639.52,-0.0,-0.0,-0.0,-24265.68,-6055.34,-155455.23,-46594.61,-0.0,524276.62000000104
53,2025-04-11,214178.1,0.0,23971.23,-149036.04,-63499.71,-20763.97,-0.0,-0.0,-166387.33,-226630.08,-0.0,136108.81999999844
54,2025-04-18,170427.87,205704.66,22293.99,-0.0,-0.0,-0.0,-0.0,-0.0,-163327.87,-96637.82,-0.0,274569.6499999976
55,2025-04-25,214284.01,0.0,70751.12,-160307.65,-63558.48,-22583.18,-0.0,-0.0,-161738.08,-73207.7,-0.0,78209.68999999668
56,2025-05-02,201480.16,227027.77,46927.08,-0.0,-0.0,-0.0,-25983.59,-6200.23,-147356.24,-26929.03,-0.0,347175.60999999754
57,2025-05-09,212699.8,0.0,72519.55,-158000.54,-62897.22,-21124.93,-0.0,-0.0,-143191.0,-212693.21,-0.0,34488.059999995865
58,2025-05-16,212851.64,175767.33,107487.29,-0.0,-0.0,-0.0,-0.0,-0.0,-150930.35,-44057.57,-0.0,335606.3999999976
59,2025-05-23,185088.25,0.0,219239.08,-149040.81,-64357.22,-20963.71,-0.0,-0.0,-164687.39,-24405.69,-0.0,316478.9099999983
60,2025-05-30,224490.19,0.0,195487.53,-0.0,-0.0,-0.0,-0.0,-0.0,-128233.47,-182721.47,-0.0,425501.6899999967
61,2025-06-06,202511.51,210743.17,39892.65,-184553.34,-78711.57,-24805.53,-40680.87,-10223.1,-152379.17,-73603.12,-0.0,313692.31999999844
62,2025-06-13,193625.29,0.0,33647.21,-0.0,-0.0,-0.0,-0.0,-0.0,-142560.97,-79439.64,-0.0,318964.2099999981
63,2025-06-20,218330.58,190542.09,38754.66,-157288.93,-69461.65,-22125.11,-0.0,-0.0,-149266.12,-118458.13,-0.0,249991.59999999963
64,2025-06-27,220274.36,0.0,33707.02,-0.0,-0.0,-0.0,-0.0,-0.0,-152602.04,-29477.52,-0.0,321893.4199999999
65,2025-07-04,196631.48,224493.2,19490.69,-156899.44,-66822.72,-22124.22,-25025.54,-6455.17,-151948.83,-103179.47,-0.0,230053.39999999385
66,2025-07-11,231281.84,0.0,81052.64,-0.0,-0.0,-0.0,-0.0,-0.0,-144954.77,-56022.93,-0.0,341410.17999999505
67,2025-07-18,224321.87,217307.3,32947.02,-149717.81,-62666.42,-19711.32,-0.0,-0.0,-166869.86,-20133.52,-0.0,396887.4400000004
68,2025-07-25,225291.33,0.0,133840.3,-0.0,-0.0,-0.0,-0.0,-0.0,-172261.96,-21837.56,-0.0,561919.5499999989
69,2025-08-01,206754.41,216230.31,72828.95,-144472.55,-65783.82,-21960.27,-23161.57,-5816.59,-163466.78,-99567.83,-0.0,533503.8099999987
70,2025-08-08,152719.01,0.0,46751.75,-0.0,-0.0,-0.0,-0.0,-0.0,-156445.47,-101782.52,-0.0,474746.5799999982
71,2025-08-15,231359.23,192573.04,43223.28,-148388.17,-67457.47,-21447.72,-0.0,-0.0,-140789.35,-48657.79,-0.0,515161.6299999999
72,2025-08-22,198074.17,0.0,42413.3,-0.0,-0.0,-0.0,-0.0,-0.0,-143806.16,-113755.36,-0.0,498087.58000000566
73,2025-08-29,194147.43,0.0,67474.2,-153019.95,-68233.02,-23237.25,-0.0,-0.0,-141041.06,-28433.05,-0.0,345744.88000000175
74,2025-09-05,223422.37,172864.29,43405.93,-0.0,-0.0,-0.0,-24850.69,-6197.41,-157779.94,-140457.05,-0.0,456152.3799999971
75,2025-09-12,178597.28,0.0,17334.32,-142396.62,-65192.06,-20542.0,-0.0,-0.0,-142767.63,-85685.63,-0.0,195500.03999999445
76,2025-09-19,185550.05,232554.2,39131.03,-0.0,-0.0,-0.0,-0.0,-0.0,-174529.41,-72749.52,-0.0,405456.38999999594
77,2025-09-26,165945.66,0.0,44012.84,-146648.03,-60410.0,-20229.87,-0.0,-0.0,-152133.0,-205815.55,-0.0,30178.439999997616
78,2025-10-03,181912.69,204643.38,20844.96,-0.0,-0.0,-0.0,-22787.87,-5531.27,-143011.17,-58584.68,-0.0,207664.47999999858
79,2025-10-10,201839.76,0.0,91577.82,-147771.56,-62763.83,-20855.04,-0.0,-0.0,-144611.65,-149987.47,-0.0,-24907.489999999292
80,2025-10-17,213679.29,207348.52,150413.36,-0.0,-0.0,-0.0,-0.0,-0.0,-130846.16,-70463.28,-0.0,345224.23999999464
81,2025-10-24,214371.87,0.0,29122.86,-151425.21,-64947.73,-21290.74,-0.0,-0.0,-138127.77,-17305.65,-0.0,195621.86999999546
82,2025-10-31,200163.04,0.0,84399.84,-0.0,-0.0,-0.0,-0.0,-0.0,-151721.47,-60113.7,-0.0,268349.57999999356
83,2025-11-07,179780.74,209495.87,64659.24,-147707.43,-66093.79,-21438.72,-36233.06,-8841.56,-147637.54,-45171.67,-0.0,249161.65999999736
84,2025-11-14,214700.9,0.0,284280.18,-0.0,-0.0,-0.0,-0.0,-0.0,-131964.1,-94882.32,-0.0,521296.31999999564
85,2025-11-21,224043.42,214006.05,129768.22,-167492.77,-71823.66,-23532.06,-0.0,-0.0,-157702.93,-89589.79,-0.0,578972.8000000026
86,2025-11-28,221106.45,0.0,40563.3,-0.0,-0.0,-0.0,-0.0,-0.0,-155925.16,-309551.93,-0.0,375165.46000000276
87,2025-12-05,227795.14,202644.7,47299.74,-149679.14,-61429.45,-21670.64,-25631.26,-6230.37,-135194.86,-15438.22,-0.0,437631.09999999497
88,2025-12-12,207300.92,0.0,84001.14,-0.0,-0.0,-0.0,-0.0,-0.0,-139551.65,-45724.0,-0.0,543657.509999997
89,2025-12-19,215301.4,177886.2,49088.5,-150166.56,-60456.01,-20480.26,-0.0,-0.0,-148539.35,-51596.74,-0.0,554694.6899999976
90,2025-12-26,221304.11,0.0,42445.23,-0.0,-0.0,-0.0,-0.0,-0.0,-162426.69,-58369.64,-0.0,597647.6999999974
91,2026-01-02,209277.0,199337.26,35566.42,-148550.56,-58682.42,-20879.13,-24066.23,-5952.6,-156036.52,-42004.75,-0.0,585656.1699999962
92,2026-01-09,174182.28,0.0,354020.11,-0.0,-0.0,-0.0,-0.0,-0.0,-133113.58,-180856.3,-0.0,799888.679999996
93,2026-01-16,226021.48,234569.0,50984.12,-144394.42,-63066.1,-21281.56,-0.0,-0.0,-149703.49,-61211.49,-0.0,871806.2200000025
94,2026-01-23,191647.68,0.0,39568.87,-0.0,-0.0,-0.0,-0.0,-0.0,-152588.58,-34555.87,-0.0,915878.3200000003
95,2026-01-30,196865.14,204208.98,135071.12,-156262.49,-61025.22,-21581.58,-25033.86,-6085.93,-154582.11,-45289.54,-0.0,982162.8300000019
